Date,Stratégie momentum,STOXX 600,Surperformance,Stratégie gagne ?
2016,12.465606681926488,1.5616455202147161,10.903961161711772,√ Oui
2017,20.577673777377782,10.665908178517958,9.911765598859825,√ Oui
2018,-6.277218111246574,-10.986767489557515,4.709549378310941,√ Oui
2019,33.19487389399558,28.414514833869898,4.780359060125679,√ Oui
2020,11.035903174820639,-1.8035080107415835,12.839411185562223,√ Oui
2021,21.55038719972606,24.572825277820453,-3.0224380780943925,X Non
2022,-16.187275225437336,-10.334988548562517,-5.852286676874819,X Non
2023,12.55889161129069,15.45715218075847,-2.89826056946778,X Non
2024,25.00813535370967,8.50455736720377,16.5035779865059,√ Oui
