ticker_blackrock,yahoo_ticker,nom,secteur,ponderation_pct,pays,bourse,devise
FER,FER.MC,FERROVIAL NV,Industries,0.22245,Espagne,Bolsa De Madrid,EUR
ADYEN,ADYEN.AS,ADYEN NV,Finance,0.22188,Pays-Bas,Euronext Amsterdam,EUR
SWED A,SWED-A.ST,SWEDBANK,Finance,0.21943,Suède,Nasdaq Omx Nordic,SEK
ALC,ALC.SW,ALCON AG,Santé,0.21866,Suisse,SIX Swiss Exchange,CHF
DANSKE,DANSKE.CO,DANSKE BANK,Finance,0.21755,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
SUNB,SUNB.L,SUNBELT RENTALS HOLDINGS INC,Industries,0.21558,Royaume-Uni,London Stock Exchange,GBP
GALD,GALD.SW,GALDERMA GROUP N AG,Santé,0.21195,Suisse,SIX Swiss Exchange,CHF
EXPN,EXPN.L,EXPERIAN PLC,Industries,0.20939,Royaume-Uni,London Stock Exchange,GBP
SEB A,SEB-A.ST,SKANDINAVISKA ENSKILDA BANKEN,Finance,0.20932,Suède,Nasdaq Omx Nordic,SEK
SIKA,SIKA.SW,SIKA AG,Matériaux,0.20725,Suisse,SIX Swiss Exchange,CHF
SLHN,SLHN.SW,SWISS LIFE HOLDING AG,Finance,0.20575,Suisse,SIX Swiss Exchange,CHF
EQNR,EQNR.OL,EQUINOR,Energie,0.20173,Norvège,Oslo Bors Asa,NOK
MT,MT.AS,ARCELORMITTAL SA,Matériaux,0.19939,France,Euronext Amsterdam,EUR
ACS,ACS.MC,ACS ACTIVIDADES DE CONSTRUCCION Y,Industries,0.19751,Espagne,Bolsa De Madrid,EUR
EQT,EQT.ST,EQT,Finance,0.19744,Suède,Nasdaq Omx Nordic,SEK
III,III.L,3I GROUP PLC,Finance,0.19687,Royaume-Uni,London Stock Exchange,GBP
CBK,CBK.DE,COMMERZBANK AG,Finance,0.19627,Allemagne,Xetra,EUR
KBC,KBC.BR,KBC GROEP,Finance,0.18958,Belgique,Nyse Euronext - Euronext Brussels,EUR
GIVN,GIVN.SW,GIVAUDAN SA,Matériaux,0.18908,Suisse,SIX Swiss Exchange,CHF
VOD,VOD.L,VODAFONE GROUP PLC,La communication,0.18829,Royaume-Uni,London Stock Exchange,GBP
AMS,AMS.MC,AMADEUS IT GROUP SA,Biens de consommation cycliques,0.185,Espagne,Bolsa De Madrid,EUR
IMB,IMB.L,IMPERIAL BRANDS PLC,Biens de consommation de base,0.18306,Royaume-Uni,London Stock Exchange,GBP
REP,REP.MC,REPSOL SA,Energie,0.1821,Espagne,Bolsa De Madrid,EUR
VWS,VWS.CO,VESTAS WIND SYSTEMS,Industries,0.18025,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
DNB,DNB.OL,DNB BANK,Finance,0.17978,Norvège,Oslo Bors Asa,NOK
HEI,HEI.DE,HEIDELBERG MATERIALS AG,Matériaux,0.17871,Allemagne,Xetra,EUR
VIE,VIE.PA,VEOLIA ENVIRON. SA,Services publics,0.17838,France,Nyse Euronext - Euronext Paris,EUR
HO,HO.PA,THALES SA,Industries,0.17758,France,Nyse Euronext - Euronext Paris,EUR
SAMPO,SAMPO.HE,SAMPO CLASS A,Finance,0.17536,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
DTG,DTG.DE,DAIMLER TRUCK HOLDING E AG,Industries,0.17314,Allemagne,Xetra,EUR
AV.,AV..L,AVIVA PLC,Finance,0.16676,Royaume-Uni,London Stock Exchange,GBP
UMG,UMG.AS,UNIVERSAL MUSIC GROUP NV,La communication,0.16486,Pays-Bas,Euronext Amsterdam,EUR
