ticker_blackrock,yahoo_ticker,nom,secteur,ponderation_pct,pays,bourse,devise
TREL B,TREL-B.ST,TRELLEBORG B,Industries,0.05942,Suède,Nasdaq Omx Nordic,SEK
ADDT B,ADDT-B.ST,ADDTECH CLASS B,Industries,0.05937,Suède,Nasdaq Omx Nordic,SEK
SKF B,SKF-B.ST,SKF B,Industries,0.05851,Suède,Nasdaq Omx Nordic,SEK
YAR,YAR.OL,YARA INTERNATIONAL,Matériaux,0.05838,Norvège,Oslo Bors Asa,NOK
ABVX,ABVX.PA,ABIVAX SA,Santé,0.05822,France,Nyse Euronext - Euronext Paris,EUR
WEIR,WEIR.L,WEIR GROUP PLC,Industries,0.05789,Royaume-Uni,London Stock Exchange,GBP
GAW,GAW.L,GAMES WORKSHOP GROUP PLC,Biens de consommation cycliques,0.05686,Royaume-Uni,London Stock Exchange,GBP
SDLF,SDLF.L,STANDARD LIFE PLC,Finance,0.05678,Royaume-Uni,London Stock Exchange,GBP
GTT,GTT.PA,GAZTRANSPORT & TECHNIGAZ SA,Energie,0.05629,France,Nyse Euronext - Euronext Paris,EUR
FME,FME.DE,FRESENIUS MEDICAL CARE AG,Santé,0.05513,Allemagne,Xetra,EUR
KBX,KBX.DE,KNORR BREMSE AG,Industries,0.0551,Allemagne,Xetra,EUR
HM B,HM-B.ST,HENNES & MAURITZ,Biens de consommation cycliques,0.05488,Suède,Nasdaq Omx Nordic,SEK
PSPN,PSPN.SW,PSP SWISS PROPERTY AG,Immobilier,0.05487,Suisse,SIX Swiss Exchange,CHF
ALE,ALE.WA,ALLEGRO SA,Biens de consommation cycliques,0.05485,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
HEIO,HEIO.AS,HEINEKEN HOLDING NV,Biens de consommation de base,0.05482,Pays-Bas,Euronext Amsterdam,EUR
MICC,MICC.AS,MAGNUM ICE CREAM NV,Biens de consommation de base,0.05477,Pays-Bas,Euronext Amsterdam,EUR
ERF,ERF.PA,EUROFINS SCIENTIFIC,Santé,0.05452,France,Nyse Euronext - Euronext Paris,EUR
ORK,ORK.OL,ORKLA,Biens de consommation de base,0.05449,Norvège,Oslo Bors Asa,NOK
MAERSK B,MAERSK-B.CO,A P MOLLER MAERSK B,Industries,0.05427,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
STJ,STJ.L,ST JAMESS PLACE PLC,Finance,0.05403,Royaume-Uni,London Stock Exchange,GBP
HSX,HSX.L,HISCOX LTD,Finance,0.05391,Royaume-Uni,London Stock Exchange,GBP
UHR,UHR.SW,THE SWATCH GROUP AG,Biens de consommation cycliques,0.05362,Suisse,SIX Swiss Exchange,CHF
SECU B,SECU-B.ST,SECURITAS B,Industries,0.05324,Suède,Nasdaq Omx Nordic,SEK
SUBC,SUBC.OL,SUBSEA SA,Energie,0.0525,Norvège,Oslo Bors Asa,NOK
SDR,SDR.L,SCHRODERS PLC,Finance,0.05239,Royaume-Uni,London Stock Exchange,GBP
TPRO,TPRO.MI,TECHNOPROBE SPA,Technologie de l'information,0.05217,Italie,Borsa Italiana,EUR
BNR,BNR.DE,BRENNTAG,Industries,0.05205,Allemagne,Xetra,EUR
STB,STB.OL,STOREBRAND,Finance,0.05192,Norvège,Oslo Bors Asa,NOK
MRO,MRO.L,MELROSE INDUSTRIES PLC,Industries,0.05087,Royaume-Uni,London Stock Exchange,GBP
GBLB,GBLB.BR,GROUPE BRUXELLES LAMBERT NV,Finance,0.05084,Belgique,Nyse Euronext - Euronext Brussels,EUR
AIXA,AIXA.DE,AIXTRON,Technologie de l'information,0.05055,Allemagne,Xetra,EUR
DCC,DCC.L,DCC PLC,Energie,0.05052,Royaume-Uni,London Stock Exchange,GBP
AED,AED.BR,AEDIFICA NV,Immobilier,0.05031,Belgique,Nyse Euronext - Euronext Brussels,EUR
FRES,FRES.L,FRESNILLO PLC,Matériaux,0.04996,Royaume-Uni,London Stock Exchange,GBP
ELI,ELI.BR,ELIA GROUP SA,Services publics,0.04978,Belgique,Nyse Euronext - Euronext Brussels,EUR
LPP,LPP.WA,LPP SA,Biens de consommation cycliques,0.04975,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
QIA,QIA.DE,QIAGEN NV,Santé,0.04957,Allemagne,Deutsche Boerse Xetra,EUR
NEX,NEX.PA,NEXANS SA,Industries,0.04946,France,Nyse Euronext - Euronext Paris,EUR
BAB,BAB.L,BABCOCK INTERNATIONAL GROUP PLC,Industries,0.04932,Royaume-Uni,London Stock Exchange,GBP
PNDORA,PNDORA.CO,PANDORA,Biens de consommation cycliques,0.04905,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
BEI,BEI.DE,BEIERSDORF AG,Biens de consommation de base,0.049,Allemagne,Xetra,EUR
RBI,RBI.VI,RAIFFEISEN BANK INTERNATIONAL AG,Finance,0.04877,Autriche,Wiener Boerse Ag,EUR
ELISA,ELISA.HE,ELISA,La communication,0.04864,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
IG,IG.MI,ITALGAS,Services publics,0.04861,Italie,Borsa Italiana,EUR
LTMC,LTMC.MI,LOTTOMATICA GROUP,Biens de consommation cycliques,0.04831,Italie,Borsa Italiana,EUR
TLX,TLX.DE,TALANX AG,Finance,0.04825,Allemagne,Xetra,EUR
TRYG,TRYG.CO,TRYG,Finance,0.04796,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
KCR,KCR.HE,KONECRANES,Industries,0.04763,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
TKA,TKA.DE,THYSSENKRUPP AG,Matériaux,0.04753,Allemagne,Xetra,EUR
ICG,ICG.L,ICG PLC,Finance,0.04717,Royaume-Uni,London Stock Exchange,GBP
ABF,ABF.L,ASSOCIATED BRITISH FOODS PLC,Biens de consommation de base,0.04691,Royaume-Uni,London Stock Exchange,GBP
EXO,EXO.AS,EXOR NV,Finance,0.04664,Pays-Bas,Euronext Amsterdam,EUR
SBRY,SBRY.L,SAINSBURY(J) PLC,Biens de consommation de base,0.0465,Royaume-Uni,London Stock Exchange,GBP
SPX,SPX.L,SPIRAX GROUP PLC,Industries,0.04648,Royaume-Uni,London Stock Exchange,GBP
EBP,EBP.WA,ERSTE BANK POLSKA SA,Finance,0.04644,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
ALO,ALO.PA,ALSTOM SA,Industries,0.04634,France,Nyse Euronext - Euronext Paris,EUR
ANA,ANA.MC,ACCIONA SA,Services publics,0.04601,Espagne,Bolsa De Madrid,EUR
RNO,RNO.PA,RENAULT SA,Biens de consommation cycliques,0.04597,France,Nyse Euronext - Euronext Paris,EUR
KGF,KGF.L,KINGFISHER PLC,Biens de consommation cycliques,0.04552,Royaume-Uni,London Stock Exchange,GBP
STERV,STERV.HE,STORA ENSO CLASS R,Matériaux,0.04507,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
LIFCO B,LIFCO-B.ST,LIFCO CLASS B,Industries,0.04505,Suède,Nasdaq Omx Nordic,SEK
SRT3,SRT3.DE,SARTORIUS PREF AG,Santé,0.04425,Allemagne,Xetra,EUR
KESKOB,KESKOB.HE,KESKO CLASS B,Biens de consommation de base,0.04386,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
NDA,NDA.DE,AURUBIS AG,Matériaux,0.04374,Allemagne,Xetra,EUR
IPN,IPN.PA,IPSEN SA,Santé,0.04371,France,Nyse Euronext - Euronext Paris,EUR
AM,AM.PA,DASSAULT AVIATION SA,Industries,0.04347,France,Nyse Euronext - Euronext Paris,EUR
SCA B,SCA-B.ST,SVENSKA CELLULOSA B,Matériaux,0.0434,Suède,Nasdaq Omx Nordic,SEK
EDEN,EDEN.PA,EDENRED,Finance,0.04316,France,Nyse Euronext - Euronext Paris,EUR
ISS,ISS.CO,ISS A S,Industries,0.043,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
MRL,MRL.MC,MERLIN PROPERTIES REIT SA,Immobilier,0.04254,Espagne,Bolsa De Madrid,EUR
SPM,SPM.MI,SAIPEM,Energie,0.04253,Italie,Borsa Italiana,EUR
REC,REC.MI,RECORDATI INDUSTRIA CHIMICA E FARM,Santé,0.04245,Italie,Borsa Italiana,EUR
AVOL,AVOL.SW,AVOLTA AG,Biens de consommation cycliques,0.04214,Suisse,SIX Swiss Exchange,CHF
GET,GET.PA,GETLINK,Industries,0.04181,France,Nyse Euronext - Euronext Paris,EUR
SSAB B,SSAB-B.ST,SSAB CLASS B,Matériaux,0.0416,Suède,Nasdaq Omx Nordic,SEK
LAND,LAND.L,LAND SECURITIES GROUP REIT PLC,Immobilier,0.04152,Royaume-Uni,London Stock Exchange,GBP
ACKB,ACKB.BR,ACKERMANS & VAN HAAREN NV,Industries,0.04112,Belgique,Nyse Euronext - Euronext Brussels,EUR
ZAL,ZAL.DE,ZALANDO,Biens de consommation cycliques,0.04105,Allemagne,Xetra,EUR
SQN,SQN.SW,SWISSQUOTE GROUP HOLDING SA,Finance,0.04103,Suisse,SIX Swiss Exchange,CHF
PAH3,PAH3.DE,PORSCHE AUTOMOBIL HOLDING PREF,Biens de consommation cycliques,0.04077,Allemagne,Xetra,EUR
VOE,VOE.VI,VOESTALPINE AG,Matériaux,0.04057,Autriche,Wiener Boerse Ag,EUR
G24,G24.DE,SCOUT24 N,La communication,0.04042,Allemagne,Xetra,EUR
UMI,UMI.BR,UMICORE SA,Matériaux,0.04031,Belgique,Nyse Euronext - Euronext Brussels,EUR
RILBA,RILBA.CO,RINGKJOBING LANDBOBANK,Finance,0.04005,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
BBY,BBY.L,BALFOUR BEATTY PLC,Industries,0.03974,Royaume-Uni,London Stock Exchange,GBP
HAG,HAG.DE,HENSOLDT AG,Industries,0.03957,Allemagne,Xetra,EUR
EMSN,EMSN.SW,EMS-CHEMIE HOLDING AG,Matériaux,0.0393,Suisse,SIX Swiss Exchange,CHF
JMT,JMT.LS,JERONIMO MARTINS SA,Biens de consommation de base,0.03901,Portugal,Nyse Euronext - Euronext Lisbon,EUR
AMUN,AMUN.PA,AMUNDI SA,Finance,0.039,France,Nyse Euronext - Euronext Paris,EUR
IMCD,IMCD.AS,IMCD NV,Industries,0.03892,Pays-Bas,Euronext Amsterdam,EUR
SAVE,SAVE.ST,NORDNET,Finance,0.03891,Suède,Nasdaq Omx Nordic,SEK
LHA,LHA.DE,DEUTSCHE LUFTHANSA AG,Industries,0.03883,Allemagne,Xetra,EUR
NDX1,NDX1.DE,NORDEX,Industries,0.0384,Allemagne,Xetra,EUR
P911,P911.DE,DR ING HC F PORSCHE PRF AG,Biens de consommation cycliques,0.03839,Allemagne,Xetra,EUR
JYSK,JYSK.CO,JYSKE BANK,Finance,0.03836,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
ALSYDB,ALSYDB.CO,AL SYDBANK,Finance,0.03824,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
FHZN,FHZN.SW,FLUGHAFEN ZUERICH AG,Industries,0.03786,Suisse,SIX Swiss Exchange,CHF
ABDN,ABDN.L,ABERDEEN GROUP PLC,Finance,0.03772,Royaume-Uni,London Stock Exchange,GBP
CAST,CAST.ST,CASTELLUM,Immobilier,0.03756,Suède,Nasdaq Omx Nordic,SEK
DIM,DIM.PA,SARTORIUS STEDIM BIOTECH SA,Santé,0.03729,France,Nyse Euronext - Euronext Paris,EUR
ANDR,ANDR.VI,ANDRITZ AG,Industries,0.03721,Autriche,Wiener Boerse Ag,EUR
BRBY,BRBY.L,BURBERRY GROUP PLC,Biens de consommation cycliques,0.03718,Royaume-Uni,London Stock Exchange,GBP
HUBN,HUBN.SW,HUBER & SUHNER AG,Industries,0.03681,Suisse,SIX Swiss Exchange,CHF
SYENS,SYENS.BR,SYENSQO NV,Matériaux,0.03679,Belgique,Nyse Euronext - Euronext Brussels,EUR
BEIJ B,BEIJ-B.ST,BEIJER REF CLASS B,Industries,0.03628,Suède,Nasdaq Omx Nordic,SEK
NIBE B,NIBE-B.ST,NIBE INDUSTRIER CLASS B,Industries,0.03625,Suède,Nasdaq Omx Nordic,SEK
SCR,SCR.PA,SCOR,Finance,0.03612,France,Nyse Euronext - Euronext Paris,EUR
IDR,IDR.MC,INDRA SISTEMAS SA,Technologie de l'information,0.0361,Espagne,Bolsa De Madrid,EUR
BLND,BLND.L,BRITISH LAND REIT PLC,Immobilier,0.03587,Royaume-Uni,London Stock Exchange,GBP
HWDN,HWDN.L,HOWDEN JOINERY GROUP PLC,Industries,0.03583,Royaume-Uni,London Stock Exchange,GBP
FRO,FRO.OL,FRONTLINE PLC,Energie,0.03543,Norvège,Oslo Bors Asa,NOK
GJF,GJF.OL,GJENSIDIGE FORSIKRING,Finance,0.0354,Norvège,Oslo Bors Asa,NOK
WTB,WTB.L,WHITBREAD PLC,Biens de consommation cycliques,0.0353,Royaume-Uni,London Stock Exchange,GBP
LEG,LEG.DE,LEG IMMOBILIEN N,Immobilier,0.03514,Allemagne,Xetra,EUR
GALE,GALE.SW,GALENICA AG,Santé,0.03511,Suisse,SIX Swiss Exchange,CHF
LOTB,LOTB.BR,LOTUS BAKERIES NV,Biens de consommation de base,0.03507,Belgique,Nyse Euronext - Euronext Brussels,EUR
R3NK,R3NK.DE,RENK GROUP AG,Industries,0.03507,Allemagne,Xetra,EUR
BARN,BARN.SW,BARRY CALLEBAUT AG,Biens de consommation de base,0.03491,Suisse,SIX Swiss Exchange,CHF
INDT,INDT.ST,INDUTRADE,Industries,0.03481,Suède,Nasdaq Omx Nordic,SEK
ELIS,ELIS.PA,ELIS SA,Industries,0.03465,France,Nyse Euronext - Euronext Paris,EUR
ALK B,ALK-B.CO,ALK-ABELLO CLASS B,Santé,0.03449,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
TE,TE.PA,TECHNIP ENERGIES NV,Energie,0.03441,France,Nyse Euronext - Euronext Paris,EUR
INPST,INPST.AS,INPOST SA,Industries,0.03436,Pays-Bas,Euronext Amsterdam,EUR
CTEC,CTEC.L,CONVATEC GROUP PLC,Santé,0.03376,Royaume-Uni,London Stock Exchange,GBP
CRDA,CRDA.L,CRODA INTERNATIONAL PLC,Matériaux,0.03335,Royaume-Uni,London Stock Exchange,GBP
BGEO,BGEO.L,LION FINANCE GROUP PLC,Finance,0.03332,Royaume-Uni,London Stock Exchange,GBP
EDPR,EDPR.LS,EDP RENEWABLES SA,Services publics,0.03306,Portugal,Nyse Euronext - Euronext Lisbon,EUR
SIGN,SIGN.SW,SIG GROUP N AG,Matériaux,0.03303,Suisse,SIX Swiss Exchange,CHF
VK,VK.PA,VALLOUREC SA,Energie,0.03289,France,Nyse Euronext - Euronext Paris,EUR
LAGR B,LAGR-B.ST,LAGERCRANTZ GROUP CLASS B,Technologie de l'information,0.03283,Suède,Nasdaq Omx Nordic,SEK
SBMO,SBMO.AS,SBM OFFSHORE NV,Energie,0.03274,Pays-Bas,Euronext Amsterdam,EUR
TUB,TUB.BR,FINANCIERE DE TUBIZE SA,Santé,0.03273,Belgique,Nyse Euronext - Euronext Brussels,EUR
RED,RED.MC,REDEIA CORPORACION SA,Services publics,0.03266,Espagne,Bolsa De Madrid,EUR
AKE,AKE.PA,ARKEMA SA,Matériaux,0.03248,France,Nyse Euronext - Euronext Paris,EUR
BTRW,BTRW.L,BARRATT REDROW PLC,Biens de consommation cycliques,0.03244,Royaume-Uni,London Stock Exchange,GBP
WDP,WDP.BR,WAREHOUSES DE PAUW NV,Immobilier,0.03191,Belgique,Nyse Euronext - Euronext Brussels,EUR
AAK,AAK.ST,AAK,Biens de consommation de base,0.03187,Suède,Nasdaq Omx Nordic,SEK
AUTO,AUTO.L,AUTOTRADER GROUP PLC,La communication,0.03185,Royaume-Uni,London Stock Exchange,GBP
BMED,BMED.MI,BANCA MEDIOLANUM,Finance,0.03168,Italie,Borsa Italiana,EUR
LMP,LMP.L,LONDONMETRIC PROPERTY REIT PLC,Immobilier,0.03157,Royaume-Uni,London Stock Exchange,GBP
SB1NO,SB1NO.OL,SPAREBANK SR-NORGE,Finance,0.03157,Norvège,Oslo Bors Asa,NOK
JMAT,JMAT.L,JOHNSON MATTHEY PLC,Matériaux,0.03137,Royaume-Uni,London Stock Exchange,GBP
DIE,DIE.BR,DIETEREN (D) SA,Biens de consommation cycliques,0.03117,Belgique,Nyse Euronext - Euronext Brussels,EUR
AYV,AYV.PA,AYVENS SA,Industries,0.03109,France,Nyse Euronext - Euronext Paris,EUR
PSN,PSN.L,PERSIMMON PLC,Biens de consommation cycliques,0.03081,Royaume-Uni,London Stock Exchange,GBP
AZA,AZA.ST,AVANZA BANK HOLDING,Finance,0.0307,Suède,Nasdaq Omx Nordic,SEK
EVK,EVK.DE,EVONIK INDUSTRIES AG,Matériaux,0.0307,Allemagne,Xetra,EUR
INVP,INVP.L,INVESTEC PLC,Finance,0.03058,Royaume-Uni,London Stock Exchange,GBP
MYCR,MYCR.ST,MYCRONIC,Technologie de l'information,0.03057,Suède,Nasdaq Omx Nordic,SEK
MBK,MBK.WA,MBANK SA,Finance,0.03048,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
GFC,GFC.PA,GECINA SA,Immobilier,0.03015,France,Nyse Euronext - Euronext Paris,EUR
SALM,SALM.OL,SALMAR,Biens de consommation de base,0.03001,Norvège,Oslo Bors Asa,NOK
TEP,TEP.PA,TELEPERFORMANCE,Industries,0.03,France,Nyse Euronext - Euronext Paris,EUR
ZEG,ZEG.L,ZEGONA COMMUNICATIONS PLC,La communication,0.02987,Royaume-Uni,London Stock Exchange,GBP
BKG,BKG.L,BERKELEY GROUP HOLDINGS (THE) PLC,Biens de consommation cycliques,0.02984,Royaume-Uni,London Stock Exchange,GBP
LUND B,LUND-B.ST,LUNDBERGFORETAGEN CLASS B,Finance,0.02981,Suède,Nasdaq Omx Nordic,SEK
ENG,ENG.MC,ENAGAS SA,Services publics,0.02959,Espagne,Bolsa De Madrid,EUR
BCVN,BCVN.SW,BC VAUD N,Finance,0.02958,Suisse,SIX Swiss Exchange,CHF
BOL,BOL.PA,BOLLORE,Energie,0.0294,France,Nyse Euronext - Euronext Paris,EUR
SW,SW.PA,SODEXO SA,Biens de consommation cycliques,0.02935,France,Nyse Euronext - Euronext Paris,EUR
BZU,BZU.MI,BUZZI,Matériaux,0.02928,Italie,Borsa Italiana,EUR
INCH,INCH.L,INCHCAPE PLC,Biens de consommation cycliques,0.02906,Royaume-Uni,London Stock Exchange,GBP
NEM,NEM.DE,NEMETSCHEK,Technologie de l'information,0.029,Allemagne,Xetra,EUR
VER,VER.VI,VERBUND AG,Services publics,0.02891,Autriche,Wiener Boerse Ag,EUR
ALLN,ALLN.SW,ALLREAL HOLDING AG,Immobilier,0.02885,Suisse,SIX Swiss Exchange,CHF
EMG,EMG.L,MAN GROUP PLC,Finance,0.02882,Royaume-Uni,London Stock Exchange,GBP
VAR,VAR.OL,VAR ENERGI,Energie,0.0287,Norvège,Oslo Bors Asa,NOK
GL9,GL9.IR,GLANBIA PLC,Biens de consommation de base,0.02857,Irlande,Irish Stock Exchange - All Market,EUR
TEMN,TEMN.SW,TEMENOS AG,Technologie de l'information,0.02849,Suisse,SIX Swiss Exchange,CHF
SECT B,SECT-B.ST,SECTRA CLASS B,Santé,0.02848,Suède,Nasdaq Omx Nordic,SEK
GETI B,GETI-B.ST,GETINGE B,Santé,0.02844,Suède,Nasdaq Omx Nordic,SEK
SOF,SOF.BR,SOFINA SA,Finance,0.02842,Belgique,Nyse Euronext - Euronext Brussels,EUR
VEND,VEND.OL,VEND MARKETPLACES ASA,La communication,0.02838,Norvège,Oslo Bors Asa,NOK
AALB,AALB.AS,AALBERTS NV,Industries,0.02826,Pays-Bas,Euronext Amsterdam,EUR
BBOX,BBOX.L,TRITAX BIG BOX REIT PLC,Immobilier,0.02807,Royaume-Uni,London Stock Exchange,GBP
PLUS,PLUS.L,PLUS500 LTD,Finance,0.02803,Royaume-Uni,London Stock Exchange,GBP
AG1,AG1.DE,AUTO1 GROUP,Biens de consommation cycliques,0.02801,Allemagne,Xetra,EUR
A2A,A2A.MI,A2A,Services publics,0.02798,Italie,Borsa Italiana,EUR
RMV,RMV.L,RIGHTMOVE PLC,La communication,0.02792,Royaume-Uni,London Stock Exchange,GBP
ENT,ENT.L,ENTAIN PLC,Biens de consommation cycliques,0.02784,Royaume-Uni,London Stock Exchange,GBP
AZM,AZM.MI,AZIMUT HOLDING,Finance,0.02766,Italie,Borsa Italiana,EUR
MAP,MAP.MC,MAPFRE SA,Finance,0.02735,Espagne,Bolsa De Madrid,EUR
VSURE,VSURE.ST,VERISURE PLC,Industries,0.02705,Suède,Nasdaq Omx Nordic,EUR
ITV,ITV.L,ITV PLC,La communication,0.02684,Royaume-Uni,London Stock Exchange,GBP
SRP,SRP.L,SERCO GROUP PLC,Industries,0.02672,Royaume-Uni,London Stock Exchange,GBP
CVC,CVC.AS,CVC CAPITAL PARTNERS PLC,Finance,0.02664,Pays-Bas,Euronext Amsterdam,EUR
CDR,CDR.WA,CD PROJEKT SA,La communication,0.02657,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
BIM,BIM.PA,BIOMERIEUX SA,Santé,0.02652,France,Nyse Euronext - Euronext Paris,EUR
RAA,RAA.DE,RATIONAL AG,Industries,0.0263,Allemagne,Xetra,EUR
GF,GF.SW,GEORG FISCHER AG,Industries,0.0263,Suisse,SIX Swiss Exchange,CHF
SFZN,SFZN.SW,SIEGFRIED HOLDING AG,Santé,0.02617,Suisse,SIX Swiss Exchange,CHF
DNP,DNP.WA,DINO POLSKA SA,Biens de consommation de base,0.02614,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
VALMT,VALMT.HE,VALMET CORP,Industries,0.0261,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
DRX,DRX.L,DRAX GROUP PLC,Services publics,0.02592,Royaume-Uni,London Stock Exchange,GBP
FTK,FTK.DE,FLATEXDEGIRO N,Finance,0.02575,Allemagne,Xetra,EUR
SAGA B,SAGA-B.ST,SAGAX CLASS B,Immobilier,0.02562,Suède,Nasdaq Omx Nordic,SEK
FLS,FLS.CO,FLSMIDTH AND CO CLASS B,Industries,0.02542,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
RS1,RS1.L,RS GROUP PLC,Industries,0.02534,Royaume-Uni,London Stock Exchange,GBP
ZAB,ZAB.WA,ZABKA GROUP SOCIETE ANONYME SA,Biens de consommation de base,0.02525,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
WPP,WPP.L,WPP PLC,La communication,0.02511,Royaume-Uni,London Stock Exchange,GBP
EVD,EVD.DE,CTS EVENTIM AG,La communication,0.02498,Allemagne,Xetra,EUR
BALD B,BALD-B.ST,FASTIGHETS BALDER CLASS B,Immobilier,0.02497,Suède,Nasdaq Omx Nordic,SEK
CPR,CPR.MI,DAVIDE CAMPARI MILANO NV,Biens de consommation de base,0.02485,Italie,Borsa Italiana,EUR
BKW,BKW.SW,BKW N AG,Services publics,0.02481,Suisse,SIX Swiss Exchange,CHF
KGX,KGX.DE,KION GROUP AG,Industries,0.02476,Allemagne,Xetra,EUR
HER,HER.MI,HERA,Services publics,0.02474,Italie,Borsa Italiana,EUR
TW.,TW..L,TAYLOR WIMPEY PLC,Biens de consommation cycliques,0.02473,Royaume-Uni,London Stock Exchange,GBP
MNDI,MNDI.L,MONDI PLC,Matériaux,0.02472,Royaume-Uni,London Stock Exchange,GBP
UNI,UNI.MC,UNICAJA BANCO SA,Finance,0.02467,Espagne,Bolsa De Madrid,EUR
NOD,NOD.OL,NORDIC SEMICONDUCTOR,Technologie de l'information,0.02447,Norvège,Oslo Bors Asa,NOK
FNTN,FNTN.DE,FREENET AG,La communication,0.0243,Allemagne,Xetra,EUR
CWK,CWK.L,CRANSWICK PLC,Biens de consommation de base,0.0243,Royaume-Uni,London Stock Exchange,GBP
RUI,RUI.PA,RUBIS,Services publics,0.02351,France,Nyse Euronext - Euronext Paris,EUR
PUM,PUM.DE,PUMA,Biens de consommation cycliques,0.02335,Allemagne,Xetra,EUR
IP,IP.MI,INTERPUMP GROUP,Industries,0.02334,Italie,Borsa Italiana,EUR
PNN,PNN.L,PENNON GROUP PLC,Services publics,0.02333,Royaume-Uni,London Stock Exchange,GBP
BGN,BGN.MI,BANCA GENERALI,Finance,0.02327,Italie,Borsa Italiana,EUR
OCTV SDB,OCTV-SDB.ST,OCTAVE INTELLIGENCE PLC SDRS,Technologie de l'information,0.02327,Suède,Nasdaq Omx Nordic,SEK
QQ.,QQ..L,QINETIQ GROUP PLC,Industries,0.02308,Royaume-Uni,London Stock Exchange,GBP
WIE,WIE.VI,WIENERBERGER AG,Matériaux,0.02306,Autriche,Wiener Boerse Ag,EUR
PIRC,PIRC.MI,PIRELLI & C,Biens de consommation cycliques,0.02296,Italie,Borsa Italiana,EUR
ADP,ADP.PA,AEROPORTS DE PARIS SA,Industries,0.0229,France,Nyse Euronext - Euronext Paris,EUR
KBCA,KBCA.BR,KBC ANCORA NV,Finance,0.02289,Belgique,Nyse Euronext - Euronext Brussels,EUR
AXFO,AXFO.ST,AXFOOD,Biens de consommation de base,0.02277,Suède,Nasdaq Omx Nordic,SEK
TUI1,TUI1.DE,TUI N AG,Biens de consommation cycliques,0.02272,Royaume-Uni,Xetra,EUR
BFT,BFT.WA,BENEFIT SYSTEMS SA,Industries,0.02271,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
DEMANT,DEMANT.CO,DEMANT,Santé,0.02267,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
SUNN,SUNN.SW,SUNRISE N CLASS A LTD,La communication,0.02266,Suisse,SIX Swiss Exchange,CHF
ADEN,ADEN.SW,ADECCO GROUP AG,Industries,0.02232,Suisse,SIX Swiss Exchange,CHF
TEG,TEG.DE,TAG IMMOBILIEN AG,Immobilier,0.02229,Allemagne,Xetra,EUR
LOOMIS,LOOMIS.ST,LOOMIS CLASS B,Industries,0.02222,Suède,Nasdaq Omx Nordic,SEK
GRF,GRF.MC,GRIFOLS SA CLASS A,Santé,0.02213,Espagne,Bolsa De Madrid,EUR
BC,BC.MI,BRUNELLO CUCINELLI,Biens de consommation cycliques,0.02213,Italie,Borsa Italiana,EUR
COV,COV.PA,COVIVIO SA,Immobilier,0.02186,France,Nyse Euronext - Euronext Paris,EUR
CMBN,CMBN.SW,CEMBRA MONEY BANK AG,Finance,0.02174,Suisse,SIX Swiss Exchange,CHF
AAF,AAF.L,AIRTEL AFRICA PLC,La communication,0.02136,Royaume-Uni,London Stock Exchange,GBP
UTG,UTG.L,UNITE GROUP PLC,Immobilier,0.02135,Royaume-Uni,London Stock Exchange,GBP
FR,FR.PA,VALEO,Biens de consommation cycliques,0.02128,France,Nyse Euronext - Euronext Paris,EUR
VATN,VATN.SW,VALIANT HOLDING AG,Finance,0.02116,Suisse,SIX Swiss Exchange,CHF
TCAP,TCAP.L,TP ICAP GROUP PLC,Finance,0.02099,Royaume-Uni,London Stock Exchange,GBP
GBF,GBF.DE,BILFINGER,Industries,0.02095,Allemagne,Xetra,EUR
HUH1V,HUH1V.HE,HUHTAMAKI,Matériaux,0.02093,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
ACP,ACP.WA,ASSECO POLAND SA,Technologie de l'information,0.0209,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
SCYR,SCYR.MC,SACYR SA,Industries,0.02086,Espagne,Bolsa De Madrid,EUR
ROR,ROR.L,ROTORK PLC,Industries,0.02085,Royaume-Uni,London Stock Exchange,GBP
MOBN,MOBN.SW,MOBIMO HOLDING AG,Immobilier,0.02082,Suisse,SIX Swiss Exchange,CHF
CSG,CSG.AS,CSG CLASS A NV,Industries,0.02073,Pays-Bas,Euronext Amsterdam,EUR
